screen_name,location
yolisoi2831,"Caripito, Distrito Bolívar, Monagas, Venezuela"
ctolentinohotm1,"Monterrey, Nuevo León, México"
nachoarciniegas,"Le Hère, Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
CassperGore,"Guadalajara, Jalisco, 44360, México"
HerlanRene,"Miami, Miami-Dade County, Florida, United States of America"
FRENS_Carabobo,"Carabobo, Central, Venezuela"
gustavoforgione,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
FRENS_Carabobo,"Carabobo, Central, Venezuela"
Samivelvet31,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
Pao_Arenita,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
wazapata,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
kariHerreraPonc,"Santa Cruz, Argentina"
joudri,"Monte Castro, Pontremoli, Massa-Carrara, Toscana, 54027, Italia"
Marcoinsc,"Jacksonville, Duval County, Florida, United States of America"
fallaElectricas,"Boston, Suffolk County, Massachusetts, United States of America"
CamusSantana,"Recoleta, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
rzllantas,"Tijuana, Municipio de Tijuana, Baja California, 22105, México"
Alexis59686027,Bolivia
ibabspitz,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
arturo684,"Washington, District of Columbia, 20500, United States of America"
Edo2509,"Región de Arica y Parinacota, Chile"
FafaSchmitt,"Rodeio, Microrregião de Blumenau, Mesorregião do Vale do Itajaí, Santa Catarina, Região Sul, 89136-000, Brasil"
abad9615,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
gonzalofprado,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
JoacoGimenez2,"Gualeguaychú, Distrito Costa Uruguay Sur, Departamento Gualeguaychú, Entre Ríos, 2820, Argentina"
soldemorelia,"Morelia, Michoacán de Ocampo, 58000, México"
DAngelopolitano,"Puebla, México"
SoniaMo42660248,"Rosarito, Playas de Rosarito, Baja California, 22703, México"
Kcht07723501,"Guayas, Ecuador"
nati_ebc,"Santa Cruz, Argentina"
toxiccortex,"Northport, Suffolk County, New York, 11768, United States"
CamusSantana,"Recoleta, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
Diana_Lopezh,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
LandauBernard,"Florida, United States of America"
mariabriancesco,"Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
GretaMF,"Manassas, Manassas (city), Virginia, 20110, United States"
rbnavmen,"Santa Cruz, Argentina"
vg5157,"Florida, United States of America"
juvizpro,"Cúcuta, Norte de Santander, 047, Colombia"
DanielGuachall1,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
kariHerreraPonc,"Santa Cruz, Argentina"
Diego_Lorberg,"Santa Cruz de la Sierra, Provincia Andrés Ibáñez, Santa Cruz, 3212, Bolivia"
frolivopardo,"Xalapa, Veracruz de Ignacio de la Llave, 91170, México"
CoritoACA,"Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
edgar_cent10,"Celaya, Guanajuato, 38000, México"
OLIBR2701,"Fortaleza, Microrregião de Fortaleza, Mesorregião Metropolitana de Fortaleza, Ceará, Região Nordeste, Brasil"
piopio2019,"Los Angeles, Los Angeles County, California, United States of America"
SoniaCuevasVal1,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
ibabspitz,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
Gregori30548323,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
ibabspitz,"Cochabamba, Kanata, Cercado, Cochabamba, Bolivia"
elisabetsoriano,"La Plata, Partido de La Plata, Buenos Aires, Argentina"
Angy_Maidana,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
ovandoster,"Ciudad de México, México"
Mauricioortzab,"Santa Cruz, Argentina"
JaimeLuisss,"Lima, Peru"
ntK90Russ,"Závod, Bonyhádi járás, Tolna megye, Dél-Dunántúl, Dunántúl, 7182, Magyarország"
gustavooshea,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
HectorLaval,"Caseros, Partido de Tres de Febrero, Buenos Aires, Argentina"
Alma_Natta,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica"
Cida66540547,"João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil"
relias23,"San Isidro, Partido de San Isidro, Buenos Aires, Argentina"
FlorDelAire1966,"Villa Martelli, Vicente López, Partido de Vicente López, Buenos Aires, Argentina"
VillelaSupply,"Hermosillo, Sonora, 83000, México"
SuresDDHH,"Caracas, Municipio Libertador, Distrito Capital, Región Capital, 1010-A, Venezuela"
mariascalef,"South Carolina, United States of America"
miguefk1,"Bogotá, Distrito Capital de Bogotá, 110321, Colombia"
NotiBolGroup,"La Paz, Provincia Pedro Domingo Murillo, La Paz, Bolivia"
CamusSantana,"Recoleta, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina"
thiagrillo007,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
huevotekinder,"Ex Hipódromo de Peralvillo, Ciudad de México, Cuauhtémoc, Ciudad de México, 06250, México"
TheRealChetDay,"Florida, United States of America"
AgenildoXimenes,"Pernambuco, Região Nordeste, Brasil"
